Species,positive_count,negative_count
Virgibacillus halodenitrificans,33,1
Bifidobacterium breve,31,0
Bifidobacterium longum,31,0
Enterococcus faecalis,29,0
Bacteroides thetaiotaomicron,28,1
Clostridioides difficile,27,0
Clostridium perfringens,27,0
Lactobacillus plantarum,27,0
Bifidobacterium adolescentis,25,0
Bifidobacterium bifidum,24,0
Lactobacillus acidophilus,24,0
Lactobacillus casei,24,0
Klebsiella pneumoniae,23,0
Aerococcus viridans,22,1
Butyrivibrio fibrisolvens,22,0
Butyrivibrio proteoclasticus,22,0
Clostridium tetani,22,0
Actinosynnema mirum,21,10
Clostridium clostridioforme,21,3
Bifidobacterium animalis,21,0
Erysipelatoclostridium ramosum,21,0
Clostridium saccharoperbutylacetonicum,20,2
Staphylococcus lentus,20,2
Acidovorax avenae,20,0
Bacteroides vulgatus,20,0
Enterococcus gallinarum,20,0
Myroides injenensis,20,0
Trichomonas vaginalis,20,0
Enterococcus phoeniculicola,19,4
Anaerotruncus colihominis,19,0
Bacteroides fragilis,19,0
Bacteroides xylanisolvens,19,0
Clostridium botulinum,19,0
Halanaerobium saccharolyticum,19,0
Lactobacillus gasseri,19,0
Lactobacillus johnsonii,19,0
Leuconostoc mesenteroides,19,0
Clostridium saccharobutylicum,18,3
Desulfovibrio salexigens,18,0
Methylobacterium nodulans,18,0
Anaerostipes hadrus,17,7
Enterococcus haemoperoxidus,17,7
Escherichia coli,17,1
Candidatus Baumannia cicadellinicola,17,0
Streptococcus thermophilus,17,0
Subdoligranulum variabile,17,0
Paraclostridium bifermentans,16,13
Treponema bryantii,16,10
Bacteroides pyogenes,16,6
Bacteroides ovatus,16,0
Bifidobacterium pseudolongum,16,0
Candida tropicalis,16,0
Geobacter metallireducens,16,0
Holdemania filiformis,16,0
Hungatella hathewayi,16,0
Lactobacillus buchneri,16,0
Streptococcus equinus,16,0
Parvularcula bermudensis,15,25
Thermus igniterrae,15,6
Eubacterium plexicaudatum,15,5
Parabacteroides distasonis,15,4
Emticicia oligotrophica,15,3
Candida albicans,15,1
Bifidobacterium pseudocatenulatum,15,0
Bilophila wadsworthia,15,0
Prevotella ruminicola,15,0
Ruminococcus bromii,15,0
Clostridium celatum,14,12
Ruminiclostridium cellobioparum,14,7
Holdemanella biformis,14,5
Flexithrix dorotheae,14,4
Desulfobacula toluolica,14,2
Megamonas rupellensis,14,1
Acetobacterium woodii,14,0
Bacteroides caccae,14,0
Clostridium acetobutylicum,14,0
Dysgonomonas mossii,14,0
Enterococcus faecium,14,0
Lactobacillus fermentum,14,0
Lactobacillus paracasei,14,0
Lactobacillus pentosus,14,0
Marvinbryantia formatexigens,14,0
Selenomonas ruminantium,14,0
Streptococcus salivarius,14,0
Syntrophomonas wolfei,14,0
Enterococcus villorum,13,14
Caldanaerobacter subterraneus,13,4
Thermoanaerobacterium saccharolyticum,13,4
Clostridium innocuum,13,2
Bifidobacterium dentium,13,0
Clostridium pasteurianum,13,0
Dysgonomonas gadei,13,0
Fusobacterium nucleatum,13,0
Lactobacillus brevis,13,0
Lactobacillus reuteri,13,0
Lactobacillus rhamnosus,13,0
Lactobacillus salivarius,13,0
Ruminococcus albus,13,0
Terrisporobacter glycolicus,12,16
Clostridium colicanis,12,9
Weissella confusa,12,9
Eubacterium ramulus,12,8
Thermoanaerobacterium xylanolyticum,12,5
Roseburia intestinalis,12,4
