Species	metabolites	activity	Ref. #	KEGG_ID	STRING_name_compact	Score	Stringdb	taxon_id	MolecularWeight	LogP	HBD	HBA
Absiella dolichum	D-Galactose	Consumption (import) (-)	424	C00124	Absiella dolichum	100	v12	428127	180.156	-3.2214	5.0	6.0
Absiella dolichum	D-Gluconate (D-Gluconic acid, Gluconate)	Consumption (import) (-)	424	C00257	Absiella dolichum	100	v12	428127	196.155	-3.493099999999999	6.0	6.0
Absiella dolichum	Erythritol	Consumption (import) (-)	242	C00503	Absiella dolichum	100	v12	428127	122.12	-2.3071999999999995	4.0	4.0
Absiella dolichum	Glycerol	Consumption (import) (-)	424	C00116	Absiella dolichum	100	v12	428127	92.094	-1.6681	3.0	3.0
Absiella dolichum	Hippurate	Consumption (import) (-)	242	C01586	Absiella dolichum	100	v12	428127	179.17499999999998	0.5009999999999999	2.0	2.0
Absiella dolichum	L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Consumption (import) (-)	242	C00186	Absiella dolichum	100	v12	428127	90.078	-0.5482	2.0	2.0
Absiella dolichum	L-Sorbose (Sorbose)	Consumption (import) (-)	424	C00247	Absiella dolichum	100	v12	428127	180.156	-3.2198	5.0	6.0
Absiella dolichum	Pyruvate	Consumption (import) (-)	424	C00022	Absiella dolichum	100	v12	428127	88.062	-0.3400000000000001	1.0	2.0
Actinosynnema mirum	Acetate	Consumption (import) (-)	631	C00033	Actinosynnema mirum	100	v12	446462	60.05200000000001	0.0908999999999999	1.0	1.0
Actinosynnema mirum	Benzoate	Consumption (import) (-)	631	C00180	Actinosynnema mirum	100	v12	446462	122.12299999999998	1.3848	1.0	1.0
Actinosynnema mirum	Citrate	Consumption (import) (-)	631	C00158	Actinosynnema mirum	100	v12	446462	192.123	-1.2485	4.0	4.0
Actinosynnema mirum	D-Ribose (Ribose)	Consumption (import) (-)	631	C00121	Actinosynnema mirum	100	v12	446462	150.13	-2.5823	4.0	5.0
Actinosynnema mirum	D-Sorbitol (D-Glucitol, Sorbitol, Glucitol, L-Sorbitol, Sorbitol)	Consumption (import) (-)	631	C00794	Actinosynnema mirum	100	v12	446462	182.17200000000005	-3.5853999999999986	6.0	6.0
Actinosynnema mirum	Erythritol	Consumption (import) (-)	631	C00503	Actinosynnema mirum	100	v12	446462	122.12	-2.3071999999999995	4.0	4.0
Actinosynnema mirum	Galactitol (Dulcitol)	Consumption (import) (-)	631	C01697	Actinosynnema mirum	100	v12	446462	182.17200000000005	-3.5853999999999986	6.0	6.0
Actinosynnema mirum	Glycerol	Consumption (import) (-)	631	C00116	Actinosynnema mirum	100	v12	446462	92.094	-1.6681	3.0	3.0
Actinosynnema mirum	Inositol (myo-Inositol, Inositol 1-phosphate, Myo-inositol phosphate)	Consumption (import) (-)	631	C00137	Actinosynnema mirum	100	v12	446462	180.156	-3.834600000000001	6.0	6.0
