Species	metabolites	activity	Ref. #	KEGG_ID	STRING_name_compact	Score	Stringdb	taxon_id	MolecularWeight	LogP	HBD	HBA
Absiella dolichum	Cellobiose	Consumption (import)	424	C00185	Absiella dolichum	100	v12	428127	342.2970000000001	-5.397199999999993	8.0	11.0
Absiella dolichum	D-Fructose (Fructose)	Consumption (import)	424	C00095	Absiella dolichum	100	v12	428127	180.156	-3.2198	5.0	6.0
Absiella dolichum	D-Glucose (Glucose)	Consumption (import)	424	C00031	Absiella dolichum	100	v12	428127	180.156	-3.2214	5.0	6.0
Absiella dolichum	D-Mannose (Mannose)	Consumption (import)	424	C00159	Absiella dolichum	100	v12	428127	180.156	-3.2214	5.0	6.0
Absiella dolichum	D-Ribose (Ribose)	Consumption (import)	424	C00121	Absiella dolichum	100	v12	428127	150.13	-2.5823	4.0	5.0
Absiella dolichum	Maltose	Consumption (import)	424	C00208	Absiella dolichum	100	v12	428127	342.2970000000001	-5.397199999999993	8.0	11.0
Absiella dolichum	Sucrose	Consumption (import)	424	C00089	Absiella dolichum	100	v12	428127	342.297	-5.395599999999992	8.0	11.0
Absiella dolichum	Acetate	Production (export)	424	C00033	Absiella dolichum	100	v12	428127	60.05200000000001	0.0908999999999999	1.0	1.0
Absiella dolichum	Butyrate	Production (export)	424	C00246	Absiella dolichum	100	v12	428127	88.106	0.8711	1.0	1.0
Absiella dolichum	L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Production (export)	424	C00186	Absiella dolichum	100	v12	428127	90.078	-0.5482	2.0	2.0
Absiella dolichum	Pyruvate	Production (export)	424	C00022	Absiella dolichum	100	v12	428127	88.062	-0.3400000000000001	1.0	2.0
Absiella dolichum	Succinate	Production (export)	424	C00042	Absiella dolichum	100	v12	428127	118.08799999999998	-0.0642	2.0	2.0
Absiella dolichum	Starch (Amylopectin, Amylose, 1,4-alpha-D-Glucan, Pullulan, Resistant starch, Glycogen)	Macromolecule degradation	424	C00317	Absiella dolichum	100	v12	428127	828.7199999999999	-11.924600000000012	17.0	26.0
Acetoanaerobium sticklandii	L-Phenylalanine (Phenylalanine, D-Phenylalanine)	Consumption (import)	198	C00079	Acetoanaerobium sticklandii	100	v12	1511	165.19199999999998	0.6410000000000002	2.0	2.0
Acetoanaerobium sticklandii	L-Proline (Proline, D-Proline)	Consumption (import)	198	C00148	Acetoanaerobium sticklandii	100	v12	1511	115.13199999999998	-0.1769999999999998	2.0	2.0
Acetoanaerobium sticklandii	L-Tryptophan (Tryptophan)	Consumption (import)	198	C00078	Acetoanaerobium sticklandii	100	v12	1511	204.229	1.1223	3.0	2.0
Acetoanaerobium sticklandii	L-Tyrosine (Tyrosine)	Consumption (import)	198	C00082	Acetoanaerobium sticklandii	100	v12	1511	181.191	0.3465999999999998	3.0	3.0
Acetoanaerobium sticklandii	2-Aminobutyric acid (2-Aminobutyrate)	Production (export)	198	C02261	Acetoanaerobium sticklandii	100	v12	1511	103.121	-0.1916999999999998	2.0	2.0
Acetoanaerobium sticklandii	5-Aminovalerate	Production (export)	198	C00431	Acetoanaerobium sticklandii	100	v12	1511	117.148	0.2000000000000002	2.0	2.0
Acetoanaerobium sticklandii	Acetate	Production (export)	214	C00033	Acetoanaerobium sticklandii	100	v12	1511	60.05200000000001	0.0908999999999999	1.0	1.0
Acetoanaerobium sticklandii	Butyrate	Production (export)	214	C00246	Acetoanaerobium sticklandii	100	v12	1511	88.106	0.8711	1.0	1.0
Acetoanaerobium sticklandii	Indole-3-acetate (Indoleacetate)	Production (export)	198	C00954	Acetoanaerobium sticklandii	100	v12	1511	175.18699999999995	1.7949999999999997	2.0	1.0
Acetoanaerobium sticklandii	Isobutyrate (2-Methylpropanoic acid)	Production (export)	214	C02632	Acetoanaerobium sticklandii	100	v12	1511	88.10599999999998	0.727	1.0	1.0
Acetoanaerobium sticklandii	Isovalerate (3-Methylbutanoic acid)	Production (export)	214	C08262	Acetoanaerobium sticklandii	100	v12	1511	102.13299999999998	1.1171	1.0	1.0
Acetoanaerobium sticklandii	Phenylacetate	Production (export)	198	C07086	Acetoanaerobium sticklandii	100	v12	1511	136.14999999999998	1.3137	1.0	1.0
Acetoanaerobium sticklandii	Propanoate (Propionate)	Production (export)	197, 214	C00163	Acetoanaerobium sticklandii	100	v12	1511	74.07900000000001	0.4809999999999999	1.0	1.0
Acetobacter pasteurianus	L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Consumption (import)	4	C00186	Acetobacter pasteurianus	100	v12	634452	90.078	-0.5482	2.0	2.0
Acetobacter pasteurianus	Acetate	Production (export)	4	C00033	Acetobacter pasteurianus	100	v12	634452	60.05200000000001	0.0908999999999999	1.0	1.0
Acetobacter pasteurianus	Pectin	Macromolecule degradation	4	C00714	Acetobacter pasteurianus	100	v12	634452	732.5500000000003	-7.737300000000007	10.0	22.0
Acetobacterium woodii	4-Aminobenzoate (para-aminobenzoic acid, PABA, p-Aminobenzoate)	Consumption (import)	415	C00568	Acetobacterium woodii	100	v12	931626	137.13799999999995	0.967	2.0	2.0
Acetobacterium woodii	Biotin (Vitamin B7)	Consumption (import)	415	C00120	Acetobacterium woodii	100	v12	931626	244.31599999999992	0.7968	3.0	3.0
Acetobacterium woodii	Butanol	Consumption (import)	416	C06142	Acetobacterium woodii	100	v12	931626	74.12299999999999	0.7787999999999999	1.0	1.0
Acetobacterium woodii	D-Fructose (Fructose)	Consumption (import)	415	C00095	Acetobacterium woodii	100	v12	931626	180.156	-3.2198	5.0	6.0
Acetobacterium woodii	D-Glucose (Glucose)	Consumption (import)	415	C00031	Acetobacterium woodii	100	v12	931626	180.156	-3.2214	5.0	6.0
Acetobacterium woodii	D-Glycerate (Glycerate, [R]-Glycerate, Glyceric acid)	Consumption (import)	415	C00258	Acetobacterium woodii	100	v12	931626	106.07699999999998	-1.5758	3.0	3.0
Acetobacterium woodii	Folic acid (Folate, Vitamin B9)	Consumption (import)	415	C00504	Acetobacterium woodii	100	v12	931626	441.4040000000002	-0.0448000000000016	6.0	9.0
Acetobacterium woodii	L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Consumption (import)	415	C00186	Acetobacterium woodii	100	v12	931626	90.078	-0.5482	2.0	2.0
Acetobacterium woodii	Niacin (Vitamin B3, Nicotinic acid, Nicotinate, Nicotinamide, Vitamin B3)	Consumption (import)	415	C00153	Acetobacterium woodii	100	v12	931626	122.127	0.1805000000000001	1.0	2.0
Acetobacterium woodii	Pantothenic acid (Vitamin B5, Pantothenate)	Consumption (import)	415	C00864	Acetobacterium woodii	100	v12	931626	219.237	-1.0432999999999997	4.0	4.0
Acetobacterium woodii	Propanol (n-propanol, 1-Propanol)	Consumption (import)	416	C05979	Acetobacterium woodii	100	v12	931626	60.096	0.3887	1.0	1.0
Acetobacterium woodii	Pyridoxal (Vitamin B6, Pyridoxine, Pyridoxamine, Vitamin B6)	Consumption (import)	415	C00250	Acetobacterium woodii	100	v12	931626	167.164	0.40042	2.0	4.0
Acetobacterium woodii	Riboflavin (Vitamin B2)	Consumption (import)	415	C00255	Acetobacterium woodii	100	v12	931626	376.36900000000014	-1.7235599999999998	5.0	9.0
Acetobacterium woodii	Thiamine (Vitamin B1, Thiamin)	Consumption (import)	415	C00378	Acetobacterium woodii	100	v12	931626	265.362	0.6077400000000004	2.0	5.0
Acetobacterium woodii	Acetate	Production (export)	415	C00033	Acetobacterium woodii	100	v12	931626	60.05200000000001	0.0908999999999999	1.0	1.0
Acetobacterium woodii	L-Alanine (D-Alanine, Alanine)	Production (export)	416	C00041	Acetobacterium woodii	100	v12	931626	89.09400000000001	-0.5817999999999999	2.0	2.0
Acetobacterium woodii	Succinate	Production (export)	415	C00042	Acetobacterium woodii	100	v12	931626	118.08799999999998	-0.0642	2.0	2.0
